Manufacturer,Permit Number,VIN NUMBER,Annual Total of Disengagements,DEC 2020,JAN 2021,FEB 2021,MAR 2021,APR 2021,MAY 2021,JUN 2021,JULY 2021,AUG 2021,SEP 2021,OCT 2021,NOV 2021,ANNUAL TOTAL,,,,,
AIMOTIVE INC.,AVT036,JTDKN3DU9A0059509,57,0,0,0,77,416,385,542,254,138,15,0,0,1827,,,,,
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,49,0,0,0,0,0,0,0,0,0,82,177,890,1149,,,,,
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU2HR615153,1,0,0,0,0,0,0,338.18,26.62,184.24,75.13,123.66,82.21,830 .04,,,,,
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU4GR629715,0,0,0,0,0,0,0,0,0,281.43,120.7,121.07,114.26,637.46,,,,,
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU1HR627987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU5GR607996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2T2BGMCA5JC021381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
APPLE INC.,AVT030,2T2BGMCA0GC007400,0,0,0,0,0,0,0,0,0,1,0,16,13,30,,,,,
APPLE INC.,AVT030,2T2BGMCA0HC014753,0,0,0,1,0,0,0,0,1,0,1,0,0,3,,,,,
APPLE INC.,AVT030,2T2BGMCA0HC016082,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,
APPLE INC.,AVT030,2T2BGMCA0HC019709,0,0,0,0,0,1,1,0,1,0,0,0,0,3,,,,,
APPLE INC.,AVT030,2T2BGMCA0HC019967,10,263,134,230,328,64,41,0,0,0,0,0,0,1060,,,,,
APPLE INC.,AVT030,2T2BGMCA1HC014096,1,0,0,0,0,0,19,0,0,0,0,0,0,19,,,,,
APPLE INC.,AVT030,2T2BGMCA2HC012521,136,0,0,0,0,1,105,291,266,414,340,404,653,2474,,,,,
APPLE INC.,AVT030,2T2BGMCA2HC019338,51,0,0,0,1,19,3,5,21,0,0,169,440,659,,,,,
APPLE INC.,AVT030,2T2BGMCA2HC020151,34,0,0,173,292,106,66,192,20,0,121,0,0,971,,,,,
APPLE INC.,AVT030,2T2BGMCA3GC007861,5,0,0,0,20,1,0,0,0,0,7,4,0,32,,,,,
APPLE INC.,AVT030,2T2BGMCA3GC007911,0,0,1,1,0,0,0,0,1,0,0,0,0,2,,,,,
APPLE INC.,AVT030,2T2BGMCA3HC020062,2,0,0,0,0,1,0,0,0,0,32,24,0,56,,,,,
APPLE INC.,AVT030,2T2BGMCA4HC016845,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
APPLE INC.,AVT030,2T2BGMCA4HC016912,0,1,0,0,0,11,6,0,1,1,0,0,0,20,,,,,
APPLE INC.,AVT030,2T2BGMCA4HC019826,0,0,1,1,0,0,0,0,1,0,0,0,0,3,,,,,
